	Energy_(eV)	Formation Energy per Atom (eV)	Density_(g_cm-3)	KV_(GPa)	GV_(GPa)	KR_(GPa)	GR_(GPa)
Rh	0.0003886655452888100000	0.0223463758529590000000	0.0454990363932380000000	0.0107970514733381000000	0.0350519409361607000000	0.0061281378368373500000	0.0631881367174095000000
Ir	0.0000322061417662699000	0.0192798981320260000000	0.0114874493042559000000	0.0066433080097115000000	0.0467671742989977000000	0.0014041935041813200000	0.0522715833247788000000
Ni	0.3982270468539430000000	0.0000142464401879010000	0.0203926799739715000000	0.1255978356884870000000	0.3881834605350180000000	0.0338662661021691000000	0.2818044773751720000000
Pd	0.0000415405694840401000	0.0021399120208699400000	0.0113784174474413000000	0.0639568950610709000000	0.0310109786819547000000	0.0199132537513320000000	0.0000679498294877170000
Pt	0.0000042645945806442300	0.0000260657409646166000	0.0016271577144502200000	0.0033105936376848700000	0.0121274504137538000000	0.0016952291203627100000	0.0001304556705402610000
Cu	0.0007638158705110550000	0.0000002085681385969540	0.3818224266496040000000	0.2392746632052200000000	0.0231141078953890000000	0.1997130428874260000000	0.0007277638701737040000
Ag	0.1022099219349630000000	0.1047664880109240000000	0.0087380780315751200000	0.0170594987119886000000	0.0028148370690793100000	0.0055007854685793600000	0.0018157837459337700000
Au	0.0001708232191269720000	0.0000054723594991992800	0.0013791868878318000000	0.1905342732773060000000	0.0190870964836128000000	0.1652126609168440000000	0.0000011081276969967100
Zn	0.0000500117527202981000	0.1043324844430910000000	0.0668973788420287000000	0.0010199909040802300000	0.0043971840238441800000	0.0016393709367283300000	0.0000114044363620154000
Cd	0.0000015543970885452800	0.2020864990423690000000	0.1470996564744170000000	0.0627416930565743000000	0.0020679462273448200000	0.0429671463522146000000	0.0000077654220710088600
Hg	0.0000000892964684833810	0.0000294334415214881000	0.0006592755896111230000	0.0000258116648843815000	0.0000001046451747839810	0.0000000370705224332112	0.0000005539619837761320
Al	0.0017150773694788600000	0.0626912849732737000000	0.0056220248529943200000	0.0011489726720541000000	0.0648432761445256000000	0.0202599305307587000000	0.0377797446684825000000
Ga	0.0000000404619780896244	0.0000005126619597895390	0.0000001312854373983350	0.2262190634013050000000	0.1744877702827520000000	0.1534741955122530000000	0.3510786076693700000000
In	0.0155939439161716000000	0.0127215433122701000000	0.0069430427807072400000	0.0000002579520714250420	0.0000003757060548015890	0.0000006261150197662710	0.0000003352959247704430
Tl	0.0000000572611957927265	0.0000004300608426422110	0.0000004333870604333880	0.0000001277331032331150	0.0000006856812733502860	0.0000002991450067945840	0.0000003796215881027390
Sn	0.0000104434227798874000	0.0561274719983422000000	0.1687595167806290000000	0.0000731568860900929000	0.0000939717666591804000	0.0000009183156624208560	0.0000222307266906308000
Pb	0.0000004277260811352740	0.0005546604268958380000	0.0000003916104766925570	0.0000005644644427418780	0.0000010213153918067600	0.0000004056533030182440	0.0000003025820556904100
Bi	0.0000002397186122389240	0.0000181939380741123000	0.0000003803150943330410	0.0000011848041954310300	0.0022668970006484200000	0.0000100375675262334000	0.0000492104062675191000
B	0.0000004185695388543060	0.0037979976450891000000	0.0003332202507655360000	0.0000007435472798918260	0.0000119870019731388000	0.0000207530595584111000	0.0000494258792552660000
Si	0.0012776818255932100000	0.0346040649453578000000	0.1579475008131090000000	0.2307665701913650000000	0.0510581423238322000000	0.1028692484578710000000	0.0233266140131291000000
Ge	0.0002692604455292940000	0.0391176265175351000000	0.0167101966974737000000	0.2808562827069160000000	0.9999993843678530000000	0.0591110012698904000000	0.9999986844215350000000
As	0.0000002124341655707520	0.0275341208259540000000	0.0010195398073638400000	0.0004109436752368570000	0.0010131467312131000000	0.0004237089427814710000	0.0007515025389826230000
