	Energy_(eV)	Formation Energy per Atom (eV)	Density_(g_cm-3)	Band_Gap_(eV)	Fermi_Level_(eV)
Ho	0.0015900931835280800000	0.0914308959284140000000	0.0000005518543013250700	0.0730486377002456000000	0.2133329201346790000000
Er	0.0000003195036788293390	0.0000000226147555255132	0.0000000160325962428237	0.0000281498616111377000	0.0358793990259367000000
Tm	0.0000000606478073714894	0.0000002643895904321090	0.0000001492041487264340	0.0000006925852767995490	0.0334188573353607000000
Yb	0.0000003702048067954770	0.0000013182791483976700	0.0001983260210411120000	0.0000001443984142687840	0.0000016519525956592300
Lu	0.0000000034649517881409	0.0000001786807413513480	0.0000005601681814300810	0.0000001740621321861440	0.0355507936543458000000
Ac	0.0000000727395124307488	0.0000001009757354184360	0.0000000345072245421224	0.0000006514476910230360	0.0000003280120956733540
Th	0.0368140776929470000000	0.0124892582678943000000	0.0000000124542398012915	0.0897177871233295000000	0.9999997075567720000000
Pa	0.0000000845249404407942	0.0001297861313214790000	0.0000173369214851440000	0.9999999068180940000000	0.0001335393600637690000
U	0.0509432815266284000000	0.0005711222779517550000	0.0000000032820040615745	0.0000000006736107991174	0.0253559616998236000000
Np	0.0000004559565576650090	0.1356763441904390000000	0.0000000496640640771569	0.9999998791141430000000	0.0010236360654594500000
Pu	0.0000004959993668160110	0.0012547540749165800000	0.0000696732255715172000	0.0000000848326711552218	0.0000001889509218754320
Ti	0.0001286058679922240000	0.0000001514022985000580	0.0000295856973076300000	0.0000001574229093707770	0.0000329861503012049000
Zr	0.9999999322613530000000	0.0000893966179246482000	0.0047959810044942200000	0.0005737498107504010000	0.0485193009673306000000
Hf	0.0000384653480239476000	0.0001858976356093120000	0.0000001956453658707640	0.0001332771882261390000	0.0000001706771701360170
V	0.0059684900498258400000	0.0009046618731954440000	0.0000001967105326385070	0.0000000554966320057211	0.0004922027592209990000
Nb	0.0000131635166215837000	0.0003239929144021490000	0.0000001704902431528620	0.0000625761605623264000	0.0000005868040144976770
Ta	0.0000655996391367186000	0.0047217157081750600000	0.0030115042315258600000	0.0021815815161775300000	0.0065021083445604300000
Cr	0.0000000483363385736676	0.0083383711327911900000	0.0000003357129684808740	0.0000001095832982646510	0.0000000045640298306079
Mo	0.3999397373210380000000	0.0000000123184620747266	0.0000001495832803464770	0.0006762294187780720000	0.0166904019516880000000
W	0.0000009445914134731980	0.0043387473565464300000	0.0000007501730020578750	0.0000925656958137918000	0.0297516134202727000000
Mn	0.9999990063540200000000	0.0000180764418849555000	0.0000004227969221916790	0.0110963396495911000000	0.0013005014551734500000
Tc	0.1305779659703600000000	0.0000000647706587622067	0.0000000409057831136709	0.0445522353414769000000	0.0000005313512737593300
Re	0.0000174167650039156000	0.0000727130613785564000	0.0000000688537006508169	0.9999991810605510000000	0.0447929934892738000000
Fe	0.0049962670330224400000	0.0000215627960836250000	0.0000002647096219795070	0.0002635760712222040000	0.0135205098297857000000
Ru	0.0000005482230525861220	0.0000000018830546894597	0.0000000749207719601758	0.0000000887200364021420	0.0000000362879363173592
Os	0.0000003026883236013170	0.0041968327713297600000	0.0420282190107521000000	0.0001721363791727520000	0.0031577958214369800000
Co	0.0001692052041496660000	0.0000000413586025445381	0.0002334320055705100000	0.0004592411725129350000	0.0042434564859562100000
Rh	0.0000000057585813512285	0.3650114638854280000000	0.0000000948075128389216	0.0000000102667873908664	0.0008720310599859380000
Ir	0.0000002001712714856060	0.0938066230507280000000	0.0435482902974391000000	0.9999999048742210000000	0.9999987059821630000000
Ni	0.0001495480902781270000	0.0000046078468383949900	0.0035561460887734300000	0.0000000272608469610743	0.0011493329174846300000
Pd	0.0000005007034113494640	0.0001119487337659620000	0.0000006709234628657590	0.9999989459403290000000	0.0000000115049826912610
Pt	0.0000000843403422302288	0.0000001046133263744980	0.0000002814698796242230	0.9999989023545340000000	0.0000005345334417073180
Cu	0.0000002307681116547020	0.0000874173421870237000	0.0000007271753317697820	0.0000002100152900971870	0.0016122567813321400000
Ag	0.0000001646587308573430	0.0092072066819002700000	0.0000010842712224968500	0.9999998230353060000000	0.0008781055894150370000
Au	0.0000007007121727685020	0.9999998515299960000000	0.0000002196917633143170	0.0000001558052066633520	0.0000005635442964466300
Zn	0.0001019998114193720000	0.0000004074739845982820	0.0000002266420094767160	0.0232092301674702000000	0.0007306870755957260000
Cd	0.0000003657850618775600	0.0000000947035138479672	0.0000001635106142178730	0.3170386117148970000000	0.0004717196372191720000
Hg	0.0000003804952209129630	0.0000001411395403688470	0.0000001317274409781690	0.0109277098240094000000	0.0020156704522524500000
Al	0.0000002430036081630970	0.0003382839516209650000	0.0000005678646993193660	0.0001150204928957910000	0.0016434103326864100000
Ga	0.0000205265102951534000	0.0000000170428815764190	0.0000001623851806535290	0.0000001232085389543730	0.0186582068371632000000
In	0.0000204612105096020000	0.0001941623976470450000	0.0000001270048425034470	0.0024230813748193300000	0.0064321213281676500000
Tl	0.0000058115737627585200	0.0003130127629260750000	0.0000002109643208130880	0.0000004252462608716580	0.0314208532151832000000
Sn	0.0000003130130902132620	0.0000002368246206578120	0.0000003333821746570860	0.0020722262568556900000	0.0000000537361504418678
